Category,Product URL,Purity,Gold Weight,Diamond Weight,Image Link,
ring,https://geer.in/products/solira-0-75ct-radiant-cut-solitaire-ring-1/from_collection=lab-grown-diamonds-rings,14K,2.06 g,0.75 ct,https://geer.in/cdn/shop/files/GJLR-003_W1.jpg?v=1750411868,GJLR-003_W1.jpg
ring,https://geer.in/products/3k-solitaire-diamond-ring-copy-2/from_collection=lab-grown-diamonds-rings,14K,2.41 g,1.01 ct,https://geer.in/cdn/shop/files/GJLR-010_Y1.jpg?v=1750239868,GJLR-010_Y1.jpg
ring,https://geer.in/products/celeste-spiral-elegance-ring/from_collection=lab-grown-diamonds-rings,14K,1.87 g,1.0 ct,https://geer.in/cdn/shop/files/GJLR-185_R1.jpg?v=1750394422,GJLR-185_R1.jpg
ring,https://geer.in/products/elysian-heart-ring/from_collection=lab-grown-diamonds-rings,14K,1.87 g,0.94 ct,https://geer.in/cdn/shop/files/GJLR-174_W1.jpg?v=1750395133,GJLR-174_W1.jpg
ring,https://geer.in/products/elan-fleur-ring/from_collection=lab-grown-diamonds-rings,14K,2.13 g,1.38 ct,https://geer.in/cdn/shop/files/GJLR-192_R1.jpg?v=1750395168,GJLR-192_R1.jpg
ring,https://geer.in/products/marquessa-heartline-ring/from_collection=lab-grown-diamonds-rings,14K,1.96 g,1.19 ct,https://geer.in/cdn/shop/files/GJLR-176_R1.jpg?v=1750398575,GJLR-176_R1.jpg
ring,https://geer.in/products/serenite-surface-prong-delicate-lab-diamond-ring-copy/from_collection=lab-grown-diamonds-rings,14K,2.01 g,0.81 ct,https://geer.in/cdn/shop/files/AILR-175MQ_Y1.jpg?v=1751359183,AILR-175MQ_Y1.jpg
ring,https://geer.in/products/shimmera-round-cut-stackable-casual-lab-diamond-ring-copy/from_collection=lab-grown-diamonds-rings,14K,1.94 g,0.3 ct,https://geer.in/cdn/shop/files/AILR-171_R1.jpg?v=1751358070,AILR-171_R1.jpg
ring,https://geer.in/products/solaria-radiant-bloom-ring/from_collection=lab-grown-diamonds-rings,14K,2.13 g,1.16 ct,https://geer.in/cdn/shop/files/GJLR-166_R1.jpg?v=1750398780,GJLR-166_R1.jpg
ring,https://geer.in/products/seraphina-oval-accent-ring/from_collection=lab-grown-diamonds-rings,14K,2.81 g,0.64 ct,https://geer.in/cdn/shop/files/GJLR-100_R1.jpg?v=1750399980,GJLR-100_R1.jpg
ring,https://geer.in/products/amoria-heart-spark-ring/from_collection=lab-grown-diamonds-rings,14K,2.55 g,1.16 ct,https://geer.in/cdn/shop/files/GJLR-180_R1.jpg?v=1750398856,GJLR-180_R1.jpg
ring,https://geer.in/products/lustria-shared-prong-eternity-lab-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,1.00 g,0.25 ct,https://geer.in/cdn/shop/files/AILR-009_R1_0c42acf0-4335-43a1-9e4e-1205311bdaa3.jpg?v=1752146545,AILR-009_R1_0c42acf0-4335-43a1-9e4e-1205311bdaa3.jpg
ring,https://geer.in/products/gliss-round-shape-eternity-lab-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,3.87 g,0.53 ct,https://geer.in/cdn/shop/files/AILR-014RD_Y1_210ce433-1ad4-4af3-ba58-901899f9203e.jpg?v=1752146500,AILR-014RD_Y1_210ce433-1ad4-4af3-ba58-901899f9203e.jpg
ring,https://geer.in/products/florene-leaflight-ring/from_collection=lab-grown-diamonds-rings,14K,1.87 g,0.3 ct,https://geer.in/cdn/shop/files/GJLR-170_R1.jpg?v=1750398895,GJLR-170_R1.jpg
ring,https://geer.in/products/amoura-heartlight-ring/from_collection=lab-grown-diamonds-rings,14K,1.87 g,1.34 ct,https://geer.in/cdn/shop/files/GJLR-171_Y1.jpg?v=1750399465,GJLR-171_Y1.jpg
ring,https://geer.in/products/elanora-oval-marquise-ring/from_collection=lab-grown-diamonds-rings,14K,2.21 g,1.42 ct,https://geer.in/cdn/shop/files/GJLR-158_R1.jpg?v=1750399746,GJLR-158_R1.jpg
ring,https://geer.in/products/celestia-three-stone-diamond-arc-ring/from_collection=lab-grown-diamonds-rings,14K,2.85 g,1.14 ct,https://geer.in/cdn/shop/files/GJLR-200_R1.jpg?v=1750392676,GJLR-200_R1.jpg
ring,https://geer.in/products/celene-round-radiance-ring/from_collection=lab-grown-diamonds-rings,14K,2.13 g,1.44 ct,https://geer.in/cdn/shop/files/GJLR-144_R1.jpg?v=1750399968,GJLR-144_R1.jpg
ring,https://geer.in/products/vera-diamond-accent-ring/from_collection=lab-grown-diamonds-rings,14K,2.04 g,0.26 ct,https://geer.in/cdn/shop/files/GJLR-050_Y1_cd58543d-2fc3-424c-8ebc-435d5cd6727d.jpg?v=1750235986,GJLR-050_Y1_cd58543d-2fc3-424c-8ebc-435d5cd6727d.jpg
ring,https://geer.in/products/the-sovereign-solitaire-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,2.30 g,2.15 ct,https://geer.in/cdn/shop/files/GJLR-116_R1.jpg?v=1750400389,GJLR-116_R1.jpg
ring,https://geer.in/products/elowen-emerald-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,2.81 g,1.26 ct,https://geer.in/cdn/shop/files/GJLR-110_R1.jpg?v=1750400431,GJLR-110_R1.jpg
ring,https://geer.in/products/celestia-princess-glow-ring/from_collection=lab-grown-diamonds-rings,14K,1.79 g,2.16 ct,https://geer.in/cdn/shop/files/GJLR-142_R1.jpg?v=1750400487,GJLR-142_R1.jpg
ring,https://geer.in/products/aria-round-diamond-accent-ring/from_collection=lab-grown-diamonds-rings,14K,3.32 g,1.48 ct,https://geer.in/cdn/shop/files/GJLR-102_Y1.jpg?v=1750236078,GJLR-102_Y1.jpg
